,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-07_14h40.16.670,45,23,Male,1,0.1477,1,0.6,0.6,0.1103,0.33,0.8,"(1, 0.6, 1)","(0.33, 0.8, 0.6)",,left,1,1.5154
1,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1216,1,0.8,0.8,0.1276,1.0,0.4,"(1, 0.8, 0.4)","(1, 0.4, 0.8)",,right,1,0.6439
2,2023-12-07_14h40.16.670,45,23,Male,0.8,0.134,0.33,0.8,0.6,0.1,0.33,0.4,"(0.33, 0.8, 0.8)","(0.33, 0.4, 0.6)",,left,1,0.4349
3,2023-12-07_14h40.16.670,45,23,Male,1,0.1158,1,0.8,0.8,0.1551,1.0,1.0,"(1, 0.8, 1)","(1, 1, 0.8)",,right,1,0.2934
4,2023-12-07_14h40.16.670,45,23,Male,0.8,0.134,0.33,0.4,1.0,0.1,0.33,0.8,"(0.33, 0.4, 0.8)","(0.33, 0.8, 1)",,left,1,0.2992
5,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1477,0.33,0.6,0.6,0.134,0.67,0.6,"(0.33, 0.6, 0.4)","(0.67, 0.6, 0.6)",,right,0,0.5623
6,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1551,0.33,0.4,1.0,0.1276,0.67,1.0,"(0.33, 0.4, 0.6)","(0.67, 1, 1)",,left,1,0.4111
7,2023-12-07_14h40.16.670,45,23,Male,0.8,0.1158,1,1.0,0.4,0.1103,0.67,0.8,"(1, 1, 0.8)","(0.67, 0.8, 0.4)",,left,1,0.8014
8,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1551,0.67,1.0,0.6,0.1407,1.0,0.6,"(0.67, 1, 0.4)","(1, 0.6, 0.6)",,left,1,0.4736
9,2023-12-07_14h40.16.670,45,23,Male,0.6,0.105,0.67,0.4,0.6,0.1,0.67,0.6,"(0.67, 0.4, 0.6)","(0.67, 0.6, 0.6)",,right,0,0.3483
10,2023-12-07_14h40.16.670,45,23,Male,0.6,0.134,0.67,0.8,0.4,0.1216,0.67,1.0,"(0.67, 0.8, 0.6)","(0.67, 1, 0.4)",,right,0,0.5081
11,2023-12-07_14h40.16.670,45,23,Male,0.6,0.134,0.33,0.4,1.0,0.105,0.33,0.8,"(0.33, 0.4, 0.6)","(0.33, 0.8, 1)",,left,1,0.4579
12,2023-12-07_14h40.16.670,45,23,Male,1,0.1477,0.33,0.8,0.8,0.1551,0.33,0.8,"(0.33, 0.8, 1)","(0.33, 0.8, 0.8)",,right,1,0.3715
13,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1551,0.33,0.6,0.8,0.1276,0.33,0.6,"(0.33, 0.6, 0.4)","(0.33, 0.6, 0.8)",,left,1,0.3199
14,2023-12-07_14h40.16.670,45,23,Male,0.8,0.1103,1,0.6,0.6,0.1477,0.33,0.6,"(1, 0.6, 0.8)","(0.33, 0.6, 0.6)",,right,1,0.2584
15,2023-12-07_14h40.16.670,45,23,Male,0.8,0.1216,1,0.4,0.8,0.1551,1.0,1.0,"(1, 0.4, 0.8)","(1, 1, 0.8)",,right,1,0.3575
16,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1551,0.33,1.0,0.6,0.1407,1.0,0.8,"(0.33, 1, 0.6)","(1, 0.8, 0.6)",,left,1,0.3178
17,2023-12-07_14h40.16.670,45,23,Male,0.8,0.105,1,1.0,0.6,0.105,0.33,0.6,"(1, 1, 0.8)","(0.33, 0.6, 0.6)",,right,0,0.797
18,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1407,0.33,0.4,0.4,0.134,0.67,0.6,"(0.33, 0.4, 0.4)","(0.67, 0.6, 0.4)",,right,0,0.3428
19,2023-12-07_14h40.16.670,45,23,Male,1,0.1,0.33,1.0,0.6,0.1103,1.0,0.8,"(0.33, 1, 1)","(1, 0.8, 0.6)",,right,1,0.3548
20,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1,0.67,0.8,0.8,0.1477,1.0,0.8,"(0.67, 0.8, 0.4)","(1, 0.8, 0.8)",,right,1,0.2504
21,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1407,0.33,0.6,0.6,0.1551,0.33,0.4,"(0.33, 0.6, 0.4)","(0.33, 0.4, 0.6)",,right,1,0.3287
22,2023-12-07_14h40.16.670,45,23,Male,1,0.1477,1,0.6,0.4,0.1103,0.33,0.8,"(1, 0.6, 1)","(0.33, 0.8, 0.4)",,left,1,0.2884
23,2023-12-07_14h40.16.670,45,23,Male,0.4,0.1158,0.33,0.6,0.8,0.1407,0.67,0.8,"(0.33, 0.6, 0.4)","(0.67, 0.8, 0.8)",,right,1,0.2786
24,2023-12-07_14h40.16.670,45,23,Male,0.8,0.105,1,1.0,1.0,0.1,1.0,0.6,"(1, 1, 0.8)","(1, 0.6, 1)",,left,1,1.0076
25,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1158,1,0.4,1.0,0.105,0.67,0.6,"(1, 0.4, 0.6)","(0.67, 0.6, 1)",,left,1,0.4489
26,2023-12-07_14h40.16.670,45,23,Male,0.8,0.134,0.67,0.6,0.4,0.1551,1.0,0.6,"(0.67, 0.6, 0.8)","(1, 0.6, 0.4)",,right,1,0.3126
27,2023-12-07_14h40.16.670,45,23,Male,0.8,0.1407,1,0.6,0.4,0.1477,0.67,0.8,"(1, 0.6, 0.8)","(0.67, 0.8, 0.4)",,right,1,0.5798
28,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1477,1,0.6,0.8,0.134,1.0,0.4,"(1, 0.6, 0.6)","(1, 0.4, 0.8)",,left,1,0.3874
29,2023-12-07_14h40.16.670,45,23,Male,0.6,0.134,0.67,0.6,0.4,0.1551,0.33,0.4,"(0.67, 0.6, 0.6)","(0.33, 0.4, 0.4)",,right,1,0.3257
30,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1276,0.33,0.6,1.0,0.1276,0.33,0.8,"(0.33, 0.6, 0.6)","(0.33, 0.8, 1)",,left,0,0.4791
31,2023-12-07_14h40.16.670,45,23,Male,0.6,0.105,0.33,1.0,0.8,0.1551,0.33,1.0,"(0.33, 1, 0.6)","(0.33, 1, 0.8)",,right,1,0.3546
32,2023-12-07_14h40.16.670,45,23,Male,0.6,0.1477,0.67,0.8,1.0,0.1,1.0,0.4,"(0.67, 0.8, 0.6)","(1, 0.4, 1)",,left,1,0.3122
33,2023-12-07_14h40.16.670,45,23,Male,0.8,0.1103,0.33,0.6,0.6,0.134,1.0,0.8,"(0.33, 0.6, 0.8)","(1, 0.8, 0.6)",,right,1,0.3272
34,2023-12-07_14h40.16.670,45,23,Male,1,0.1103,1,1.0,0.4,0.1103,0.33,0.6,"(1, 1, 1)","(0.33, 0.6, 0.4)",,left,0,0.8347
