,time_stamp,id,age,gender,brightness_left,size_left,hue_left,brightness_right,size_right,hue_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-01_13h01.06.202,6,,Female,0.2,0.17890815029617999,0.33,0.6,0.14198798667213486,0,"(0.1216, 0.2, 0.12)","(0.6, 0.48, 0.48)",0,left,1,0.6877824590010277
1,2023-12-01_13h01.06.202,6,,Female,0.6,0.12792123347244755,0.0,0.4,0.18409448628218883,0.66,"(0.6, 0.48, 0.48)","(0.24, 0.2464, 0.4)",0,right,1,0.36039995800092584
2,2023-12-01_13h01.06.202,6,,Female,0.4,0.11791692906277933,0.66,0.6,0.17028599699600294,0.66,"(0.16000000000000003, 0.16960000000000003, 0.4)","(0.36, 0.3696, 0.6)",0,right,1,0.4092670829995768
3,2023-12-01_13h01.06.202,6,,Female,0.6,0.17659148315050763,0.33,0.2,0.17371516812606835,0,"(0.4824, 0.6, 0.48)","(0.2, 0.08000000000000002, 0.08000000000000002)",0,left,1,0.338092375000997
4,2023-12-01_13h01.06.202,6,,Female,0.4,0.14279625620648273,0.33,0.4,0.16679358657129306,0.66,"(0.2432, 0.4, 0.24)","(0.16000000000000003, 0.16960000000000003, 0.4)",0,right,1,0.34979166600169265
5,2023-12-01_13h01.06.202,6,,Female,0.4,0.19263756822230194,0.33,0.2,0.14133244309746576,0.33,"(0.08639999999999999, 0.4, 0.07999999999999999)","(0.16080000000000003, 0.2, 0.16000000000000003)",0,left,1,0.3147832920003566
6,2023-12-01_13h01.06.202,6,,Female,0.6,0.14875935939036242,0.0,0.6,0.11869184718310465,0,"(0.6, 0.48, 0.48)","(0.6, 0.11999999999999997, 0.11999999999999997)",0,right,0,0.529313415998331
7,2023-12-01_13h01.06.202,6,,Female,0.2,0.16058143625535254,0.0,0.6,0.1341464723738288,0.66,"(0.2, 0.039999999999999994, 0.039999999999999994)","(0.11999999999999997, 0.1392, 0.6)",0,right,0,0.43345966699780547
8,2023-12-01_13h01.06.202,6,,Female,0.4,0.15954776334376986,0.66,0.2,0.14854076460201693,0.66,"(0.32000000000000006, 0.32320000000000004, 0.4)","(0.039999999999999994, 0.0464, 0.2)",0,right,0,0.5104812499994296
9,2023-12-01_13h01.06.202,6,,Female,0.4,0.10073301352001902,0.0,0.2,0.1486505314259211,0,"(0.4, 0.32000000000000006, 0.32000000000000006)","(0.2, 0.12, 0.12)",0,right,1,0.36957862499912153
