,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1407,1,0.4,0.6,0.1103,0.33,0.8,"(1, 0.4, 0.6)","(0.33, 0.8, 0.6)",,left,1,3.0132
1,2023-12-06_15h28.00.311,27,23,Male,0.4,0.134,0.33,1.0,1.0,0.134,0.33,0.8,"(0.33, 1, 0.4)","(0.33, 0.8, 1)",,right,0,0.6996
2,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1216,1,0.8,0.8,0.1276,0.67,1.0,"(1, 0.8, 0.6)","(0.67, 1, 0.8)",,right,1,0.7157
3,2023-12-06_15h28.00.311,27,23,Male,0.4,0.105,0.67,0.8,1.0,0.1551,1.0,0.4,"(0.67, 0.8, 0.4)","(1, 0.4, 1)",,right,1,0.4277
4,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1407,1,0.4,0.6,0.1,0.67,0.4,"(1, 0.4, 0.6)","(0.67, 0.4, 0.6)",,left,1,0.4137
5,2023-12-06_15h28.00.311,27,23,Male,1.0,0.1276,0.67,0.6,0.8,0.105,1.0,0.8,"(0.67, 0.6, 1)","(1, 0.8, 0.8)",,left,1,0.4658
6,2023-12-06_15h28.00.311,27,23,Male,0.4,0.1407,1,0.4,1.0,0.1551,0.67,0.6,"(1, 0.4, 0.4)","(0.67, 0.6, 1)",,right,1,0.3924
7,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1158,0.67,0.6,1.0,0.1477,1.0,1.0,"(0.67, 0.6, 0.6)","(1, 1, 1)",,right,1,1.8914
8,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1158,0.67,0.6,0.6,0.105,1.0,0.8,"(0.67, 0.6, 0.6)","(1, 0.8, 0.6)",,right,0,1.0079
9,2023-12-06_15h28.00.311,27,23,Male,0.4,0.1103,0.33,0.4,0.6,0.1103,0.67,0.4,"(0.33, 0.4, 0.4)","(0.67, 0.4, 0.6)",,right,0,0.9476
10,2023-12-06_15h28.00.311,27,23,Male,0.6,0.105,1,0.6,0.6,0.1551,1.0,0.4,"(1, 0.6, 0.6)","(1, 0.4, 0.6)",,right,1,0.4813
11,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1407,0.67,0.6,0.6,0.1477,0.67,0.6,"(0.67, 0.6, 0.6)","(0.67, 0.6, 0.6)",,left,0,0.491
12,2023-12-06_15h28.00.311,27,23,Male,0.8,0.1407,0.33,0.4,0.6,0.134,1.0,0.6,"(0.33, 0.4, 0.8)","(1, 0.6, 0.6)",,right,0,0.447
13,2023-12-06_15h28.00.311,27,23,Male,0.8,0.1216,1,0.4,1.0,0.1551,0.33,0.8,"(1, 0.4, 0.8)","(0.33, 0.8, 1)",,right,1,0.3941
14,2023-12-06_15h28.00.311,27,23,Male,1.0,0.1477,0.33,0.4,1.0,0.1477,0.33,0.8,"(0.33, 0.4, 1)","(0.33, 0.8, 1)",,left,0,0.751
15,2023-12-06_15h28.00.311,27,23,Male,0.4,0.1407,1,0.4,0.8,0.1407,0.33,0.4,"(1, 0.4, 0.4)","(0.33, 0.4, 0.8)",,left,0,0.5479
16,2023-12-06_15h28.00.311,27,23,Male,0.8,0.1216,0.67,0.6,1.0,0.1477,0.67,0.6,"(0.67, 0.6, 0.8)","(0.67, 0.6, 1)",,right,1,0.5136
17,2023-12-06_15h28.00.311,27,23,Male,0.6,0.1216,0.67,1.0,1.0,0.1216,0.33,1.0,"(0.67, 1, 0.6)","(0.33, 1, 1)",,left,0,0.4659
