,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1276,0.33,0.6,0.6,0.1407,0.33,0.6,"(0.33, 0.6, 0.6)","(0.33, 0.6, 0.6)",,right,1,0.7658
1,2023-12-05_13h24.01.006,10,23,Female,0.8,0.1216,1.0,0.4,0.4,0.105,1.0,1.0,"(1, 0.4, 0.8)","(1, 1, 0.4)",,left,1,0.2649
2,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1477,1.0,0.8,0.8,0.1276,0.33,0.8,"(1, 0.8, 0.6)","(0.33, 0.8, 0.8)",,left,1,0.3117
3,2023-12-05_13h24.01.006,10,23,Female,0.8,0.1477,0.67,0.4,0.8,0.105,0.67,0.6,"(0.67, 0.4, 0.8)","(0.67, 0.6, 0.8)",,left,1,0.22
4,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1551,0.33,0.6,1.0,0.1216,0.67,0.6,"(0.33, 0.6, 0.6)","(0.67, 0.6, 1)",,left,1,0.3104
5,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1551,0.33,0.8,0.8,0.1477,1.0,0.6,"(0.33, 0.8, 0.6)","(1, 0.6, 0.8)",,right,0,0.5753
6,2023-12-05_13h24.01.006,10,23,Female,1.0,0.105,0.67,1.0,1.0,0.1,1.0,1.0,"(0.67, 1, 1)","(1, 1, 1)",,left,1,0.6272
7,2023-12-05_13h24.01.006,10,23,Female,1.0,0.134,0.33,0.4,1.0,0.1103,0.67,0.8,"(0.33, 0.4, 1)","(0.67, 0.8, 1)",,left,1,0.3354
8,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1,0.33,0.4,0.6,0.1407,1.0,1.0,"(0.33, 0.4, 0.6)","(1, 1, 0.6)",,right,1,0.3282
9,2023-12-05_13h24.01.006,10,23,Female,0.8,0.1103,0.67,0.6,0.8,0.1,0.67,1.0,"(0.67, 0.6, 0.8)","(0.67, 1, 0.8)",,left,1,0.3392
10,2023-12-05_13h24.01.006,10,23,Female,0.6,0.1216,0.67,0.8,0.8,0.1103,1.0,0.4,"(0.67, 0.8, 0.6)","(1, 0.4, 0.8)",,left,1,0.4028
11,2023-12-05_13h24.01.006,10,23,Female,0.8,0.1158,0.67,0.8,0.4,0.1407,0.67,1.0,"(0.67, 0.8, 0.8)","(0.67, 1, 0.4)",,right,1,0.2362
