,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-06_12h38.06.752,24,25,Male,1,0.1477,0.33,0.8,0.6,0.105,1,1,"(0.33, 0.8, 1)","(1, 1, 0.6)",,left,1,0.9384
1,2023-12-06_12h38.06.752,24,25,Male,0.4,0.105,1.0,0.8,0.6,0.1276,1,1,"(1, 0.8, 0.4)","(1, 1, 0.6)",,right,1,0.3535
2,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1477,1.0,0.8,0.8,0.1276,1,0.4,"(1, 0.8, 0.8)","(1, 0.4, 0.8)",,left,1,0.2273
3,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1276,0.33,0.6,1.0,0.1158,1,0.4,"(0.33, 0.6, 0.6)","(1, 0.4, 1)",,left,1,0.5049
4,2023-12-06_12h38.06.752,24,25,Male,0.6,0.134,0.67,0.8,0.8,0.1103,0.33,1,"(0.67, 0.8, 0.6)","(0.33, 1, 0.8)",,left,1,0.321
5,2023-12-06_12h38.06.752,24,25,Male,1,0.1,0.33,1.0,0.6,0.1551,1,0.6,"(0.33, 1, 1)","(1, 0.6, 0.6)",,right,1,0.1896
6,2023-12-06_12h38.06.752,24,25,Male,1,0.1103,0.33,0.8,1.0,0.105,0.33,0.8,"(0.33, 0.8, 1)","(0.33, 0.8, 1)",,left,1,0.4053
7,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1216,1.0,0.6,0.6,0.1158,0.33,1,"(1, 0.6, 0.4)","(0.33, 1, 0.6)",,right,0,0.2254
8,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1551,1.0,0.6,0.8,0.1,0.33,0.8,"(1, 0.6, 0.6)","(0.33, 0.8, 0.8)",,left,1,0.2003
9,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1103,0.33,0.8,0.4,0.134,1,0.4,"(0.33, 0.8, 0.4)","(1, 0.4, 0.4)",,right,1,0.2086
10,2023-12-06_12h38.06.752,24,25,Male,1,0.1216,0.33,1.0,0.6,0.1477,0.33,0.6,"(0.33, 1, 1)","(0.33, 0.6, 0.6)",,right,1,0.2491
11,2023-12-06_12h38.06.752,24,25,Male,1,0.1158,1.0,0.6,1.0,0.1,0.33,0.8,"(1, 0.6, 1)","(0.33, 0.8, 1)",,left,1,0.2608
12,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1477,0.33,0.4,0.4,0.1276,0.33,1,"(0.33, 0.4, 0.8)","(0.33, 1, 0.4)",,left,1,0.2127
13,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1103,0.33,0.4,0.6,0.134,1,1,"(0.33, 0.4, 0.6)","(1, 1, 0.6)",,right,1,0.2481
14,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1551,0.67,1.0,0.4,0.134,0.33,1,"(0.67, 1, 0.4)","(0.33, 1, 0.4)",,left,1,0.271
15,2023-12-06_12h38.06.752,24,25,Male,1,0.1158,0.67,0.6,0.4,0.1103,0.67,0.8,"(0.67, 0.6, 1)","(0.67, 0.8, 0.4)",,left,1,0.4375
16,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1216,1.0,1.0,0.6,0.1407,0.33,0.6,"(1, 1, 0.6)","(0.33, 0.6, 0.6)",,right,1,0.2357
17,2023-12-06_12h38.06.752,24,25,Male,1,0.1407,0.67,0.4,0.6,0.1158,0.33,0.8,"(0.67, 0.4, 1)","(0.33, 0.8, 0.6)",,left,1,0.2531
18,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1,1.0,0.6,0.4,0.1477,0.67,0.4,"(1, 0.6, 0.4)","(0.67, 0.4, 0.4)",,right,1,0.2544
19,2023-12-06_12h38.06.752,24,25,Male,1,0.1216,1.0,0.8,0.4,0.134,0.33,0.8,"(1, 0.8, 1)","(0.33, 0.8, 0.4)",,left,0,0.253
20,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1551,0.33,1.0,0.4,0.1,0.67,1,"(0.33, 1, 0.6)","(0.67, 1, 0.4)",,left,1,0.2695
21,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1407,0.67,0.6,1.0,0.105,0.33,1,"(0.67, 0.6, 0.8)","(0.33, 1, 1)",,left,1,0.3114
22,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1158,1.0,0.6,0.6,0.1158,1,0.8,"(1, 0.6, 0.6)","(1, 0.8, 0.6)",,right,0,0.2607
23,2023-12-06_12h38.06.752,24,25,Male,1,0.134,1.0,1.0,1.0,0.1477,0.67,0.4,"(1, 1, 1)","(0.67, 0.4, 1)",,right,1,0.2113
24,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1158,1.0,1.0,0.8,0.134,0.33,0.4,"(1, 1, 0.6)","(0.33, 0.4, 0.8)",,right,1,0.2888
25,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1158,0.33,1.0,0.6,0.105,0.33,0.4,"(0.33, 1, 0.6)","(0.33, 0.4, 0.6)",,right,0,0.2213
26,2023-12-06_12h38.06.752,24,25,Male,1,0.1551,1.0,0.8,0.4,0.1158,1,0.6,"(1, 0.8, 1)","(1, 0.6, 0.4)",,left,1,0.2478
27,2023-12-06_12h38.06.752,24,25,Male,1,0.105,0.67,0.6,0.4,0.105,0.67,1,"(0.67, 0.6, 1)","(0.67, 1, 0.4)",,left,0,0.3987
28,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1477,0.67,0.4,0.4,0.1103,1,1,"(0.67, 0.4, 0.6)","(1, 1, 0.4)",,left,1,0.2704
29,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1158,0.33,1.0,1.0,0.1158,1,0.6,"(0.33, 1, 0.8)","(1, 0.6, 1)",,right,0,0.3064
30,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1551,0.67,1.0,0.6,0.1477,0.67,0.8,"(0.67, 1, 0.8)","(0.67, 0.8, 0.6)",,left,1,0.2809
31,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1407,1.0,0.4,0.8,0.1103,0.67,0.8,"(1, 0.4, 0.8)","(0.67, 0.8, 0.8)",,left,1,0.2835
32,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1103,1.0,0.4,0.4,0.1551,1,0.4,"(1, 0.4, 0.6)","(1, 0.4, 0.4)",,right,1,0.2324
33,2023-12-06_12h38.06.752,24,25,Male,1,0.1477,0.33,0.6,0.6,0.105,0.67,0.4,"(0.33, 0.6, 1)","(0.67, 0.4, 0.6)",,left,1,0.2688
34,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1,0.33,0.4,0.4,0.105,1,0.8,"(0.33, 0.4, 0.6)","(1, 0.8, 0.4)",,right,1,0.2253
35,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1,0.33,0.6,0.8,0.1103,1,0.8,"(0.33, 0.6, 0.4)","(1, 0.8, 0.8)",,right,1,0.2586
36,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1216,0.33,0.6,0.6,0.1551,0.33,0.8,"(0.33, 0.6, 0.4)","(0.33, 0.8, 0.6)",,right,1,0.2676
37,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1477,1.0,0.4,0.6,0.1477,0.33,1,"(1, 0.4, 0.4)","(0.33, 1, 0.6)",,left,0,0.3171
38,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1276,1.0,0.4,0.6,0.1103,0.67,1,"(1, 0.4, 0.8)","(0.67, 1, 0.6)",,left,1,0.1926
39,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1276,0.33,0.8,0.4,0.1158,0.67,0.8,"(0.33, 0.8, 0.6)","(0.67, 0.8, 0.4)",,left,1,0.256
40,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1216,0.33,1.0,0.8,0.1551,0.67,0.8,"(0.33, 1, 0.6)","(0.67, 0.8, 0.8)",,right,1,0.1935
41,2023-12-06_12h38.06.752,24,25,Male,0.8,0.1407,0.67,0.4,0.4,0.105,0.33,1,"(0.67, 0.4, 0.8)","(0.33, 1, 0.4)",,left,1,0.2234
42,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1216,0.33,1.0,0.4,0.1551,0.67,0.8,"(0.33, 1, 0.6)","(0.67, 0.8, 0.4)",,right,1,0.2012
43,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1276,0.33,0.6,0.6,0.1407,0.33,0.6,"(0.33, 0.6, 0.4)","(0.33, 0.6, 0.6)",,right,1,0.208
44,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1,0.67,0.4,0.4,0.1477,0.33,0.8,"(0.67, 0.4, 0.4)","(0.33, 0.8, 0.4)",,right,1,0.1816
45,2023-12-06_12h38.06.752,24,25,Male,0.4,0.1158,0.67,0.4,0.8,0.1407,0.33,1,"(0.67, 0.4, 0.4)","(0.33, 1, 0.8)",,right,1,0.2221
46,2023-12-06_12h38.06.752,24,25,Male,0.6,0.1477,0.67,0.6,0.8,0.1103,0.67,0.6,"(0.67, 0.6, 0.6)","(0.67, 0.6, 0.8)",,right,0,0.1418
47,2023-12-06_12h38.06.752,24,25,Male,0.6,0.105,0.67,0.6,1.0,0.1477,1,0.6,"(0.67, 0.6, 0.6)","(1, 0.6, 1)",,right,1,0.2603
48,2023-12-06_12h38.06.752,24,25,Male,1,0.1276,0.33,0.6,0.4,0.1103,1,0.8,"(0.33, 0.6, 1)","(1, 0.8, 0.4)",,left,1,0.223
49,2023-12-06_12h38.06.752,24,25,Male,0.8,0.134,0.67,0.8,0.4,0.134,0.33,1,"(0.67, 0.8, 0.8)","(0.33, 1, 0.4)",,right,0,0.2258
