,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-02_00h13.02.857,1,,Female,0.98,0.14,0.75,0.97,0.75,0.1476,0.1853,0.88,"(0.4883123064807718, 0.03236736635666189, 0.9789100976754137)","(0.6789399868250914, 0.7529138242986548, 0.09148218797464568)",,right,1,0.4
1,2023-12-02_00h13.02.857,1,,Female,0.67,0.12,0.92,0.91,0.99,0.1315,0.6676,0.82,"(0.6668693382391746, 0.06096791125474124, 0.3608425034380064)","(0.1802192602466039, 0.17573331951212506, 0.9854103204633056)",,left,0,0.32
2,2023-12-02_00h13.02.857,1,,Female,0.92,0.13,0.14,0.7,0.85,0.1432,0.2585,0.73,"(0.924755577278912, 0.8211103470219651, 0.2741426436049245)","(0.5122744368550947, 0.8530321432667909, 0.23453803007952242)",,right,1,0.32
3,2023-12-02_00h13.02.857,1,,Female,0.75,0.15,0.39,0.82,0.81,0.1263,0.6129,0.93,"(0.13537475928393855, 0.7548047554181466, 0.3422141403350756)","(0.060326589818202596, 0.3026045478690856, 0.8109035205162247)",,left,1,0.33
4,2023-12-02_00h13.02.857,1,,Female,0.81,0.14,0.82,0.86,0.5,0.1297,0.7214,0.94,"(0.7504507540059461, 0.1156025050778069, 0.8114173603169071)","(0.1855923650041535, 0.030287996778688948, 0.5034680881447613)",,left,1,0.33
5,2023-12-02_00h13.02.857,1,,Female,0.55,0.12,0.46,0.95,0.68,0.1437,0.4716,0.78,"(0.028173226168729068, 0.5474833894034004, 0.418358152972106)","(0.14728960000235095, 0.6752258892118326, 0.5851100138278943)",,right,1,0.28
6,2023-12-02_00h13.02.857,1,,Female,0.6,0.12,0.44,0.82,0.95,0.1173,0.5067,0.83,"(0.10992052578793664, 0.5998477274123244, 0.41664488636744146)","(0.16265140758274388, 0.9143370405718326, 0.9457505159810203)",,right,0,0.42
7,2023-12-02_00h13.02.857,1,,Female,0.77,0.11,0.44,1.0,0.51,0.1389,0.0663,0.99,"(0.003742329420862054, 0.7709279551750807, 0.4756374775258052)","(0.5112754339332504, 0.2081249138898335, 0.007623892854571323)",,right,1,0.29
8,2023-12-02_00h13.02.857,1,,Female,0.53,0.12,0.82,0.76,0.63,0.1191,0.6258,0.77,"(0.5086887252134745, 0.1275557139387522, 0.5295901408302343)","(0.14702014843145228, 0.26594572233219715, 0.6325362115517672)",,left,1,0.49
9,2023-12-02_00h13.02.857,1,,Female,0.56,0.11,0.04,0.89,0.81,0.1283,0.0414,0.88,"(0.5599724986622954, 0.17590743976856535, 0.06411804490399209)","(0.8147110316238615, 0.27694873042270673, 0.09905208745953754)",,right,1,0.21
