,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-01_23h51.19.794,99,,Female,0.83,0.13,0.42,0.97,0.74,0.1,0.72,0.79,"(0.02799529989342062, 0.8257240700186429, 0.427138321193563)","(0.359965264278763, 0.15716879299464442, 0.7439469425304107)",,left,1,0.54
1,2023-12-01_23h51.19.794,99,,Female,0.91,0.12,0.44,0.71,0.84,0.11,0.02,0.88,"(0.2621016569728626, 0.9078049164875903, 0.6664315642478644)","(0.8394688450344485, 0.17119112065909817, 0.10122051281363206)",,left,1,0.39
2,2023-12-01_23h51.19.794,99,,Female,0.59,0.15,0.77,0.97,0.84,0.12,0.16,0.8,"(0.364514868442701, 0.01719001643602404, 0.5921395947792167)","(0.843761325310826, 0.8074318400283844, 0.16708286077661524)",,left,1,0.4
3,2023-12-01_23h51.19.794,99,,Female,0.87,0.12,0.8,0.72,0.64,0.12,0.39,0.9,"(0.7546680288396556, 0.24661151722889063, 0.8656251215693235)","(0.06555713663286855, 0.643969400424657, 0.2775952533699108)",,right,0,0.5
4,2023-12-01_23h51.19.794,99,,Female,0.81,0.14,0.45,0.77,0.98,0.14,0.3,0.81,"(0.18440448806135626, 0.8139857194861735, 0.6103618239877272)","(0.3462833747436053, 0.9770292752761798, 0.183410103934814)",,right,0,0.84
5,2023-12-01_23h51.19.794,99,,Female,0.77,0.11,0.92,0.99,0.78,0.13,0.39,0.87,"(0.7697845162190637, 0.006579230652299541, 0.3858550693202344)","(0.10311439972277951, 0.7772595203866692, 0.32017843970675997)",,right,1,0.37
6,2023-12-01_23h51.19.794,99,,Female,0.74,0.1,0.47,0.77,0.63,0.11,0.32,0.83,"(0.16922812193301895, 0.7404831396170111, 0.6386401862640673)","(0.1398722779271675, 0.6347568205580082, 0.10910118294956281)",,right,1,0.52
7,2023-12-01_23h51.19.794,99,,Female,0.71,0.12,0.9,0.72,0.97,0.12,0.73,0.75,"(0.7053534959831922, 0.19959339261743572, 0.4972578333502424)","(0.5338893527434893, 0.24004991844771573, 0.9726708762223049)",,right,1,0.47
8,2023-12-01_23h51.19.794,99,,Female,0.68,0.1,0.97,0.91,0.61,0.13,0.81,0.97,"(0.677074814202286, 0.0605180170833424, 0.18367267928752068)","(0.5276070208024384, 0.019058859675058975, 0.6095915627692667)",,right,1,0.32
9,2023-12-01_23h51.19.794,99,,Female,0.67,0.11,0.07,0.72,0.99,0.13,0.47,0.98,"(0.6677679077224383, 0.40259867863317855, 0.18829012147602645)","(0.018861593438239704, 0.9873922672453315, 0.8173612252629051)",,right,1,0.3
