,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-07_14h17.57.163,38,23,Female,1,0.1276,1,1,1,0.1551,0.33,0.6,"(1, 1, 1)","(0.33, 0.6, 1)",,right,1,1.4292
1,2023-12-07_14h17.57.163,38,23,Female,0.8,0.105,0.67,0.4,0.4,0.1158,0.67,1.0,"(0.67, 0.4, 0.8)","(0.67, 1, 0.4)",,right,1,0.4469
2,2023-12-07_14h17.57.163,38,23,Female,1,0.1158,0.67,0.6,0.8,0.1407,0.33,1.0,"(0.67, 0.6, 1)","(0.33, 1, 0.8)",,right,1,0.4446
3,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1,0.67,0.4,0.6,0.1216,1.0,0.6,"(0.67, 0.4, 0.4)","(1, 0.6, 0.6)",,right,1,0.4021
4,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1103,0.67,0.4,0.8,0.1551,0.33,0.4,"(0.67, 0.4, 0.4)","(0.33, 0.4, 0.8)",,right,1,0.3535
5,2023-12-07_14h17.57.163,38,23,Female,0.4,0.134,1,0.8,1,0.134,0.67,0.4,"(1, 0.8, 0.4)","(0.67, 0.4, 1)",,left,0,0.361
6,2023-12-07_14h17.57.163,38,23,Female,1,0.105,0.33,1,0.6,0.1276,0.67,0.4,"(0.33, 1, 1)","(0.67, 0.4, 0.6)",,right,1,0.3908
7,2023-12-07_14h17.57.163,38,23,Female,0.6,0.105,0.67,0.8,0.4,0.1407,0.33,1.0,"(0.67, 0.8, 0.6)","(0.33, 1, 0.4)",,right,1,0.3544
8,2023-12-07_14h17.57.163,38,23,Female,1,0.105,0.67,1,0.8,0.1477,0.33,0.8,"(0.67, 1, 1)","(0.33, 0.8, 0.8)",,right,1,0.2985
9,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1216,1,0.8,0.6,0.1276,0.33,1.0,"(1, 0.8, 0.8)","(0.33, 1, 0.6)",,left,0,0.3182
10,2023-12-07_14h17.57.163,38,23,Female,0.6,0.134,0.67,0.6,0.4,0.105,0.33,0.8,"(0.67, 0.6, 0.6)","(0.33, 0.8, 0.4)",,left,1,0.3573
11,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1477,0.67,0.6,0.8,0.1551,0.33,0.8,"(0.67, 0.6, 0.6)","(0.33, 0.8, 0.8)",,left,0,0.3949
12,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1158,0.67,0.8,0.8,0.1158,0.33,1.0,"(0.67, 0.8, 0.8)","(0.33, 1, 0.8)",,left,0,0.3719
13,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1216,0.67,1,1,0.105,1.0,0.6,"(0.67, 1, 0.8)","(1, 0.6, 1)",,left,1,0.302
14,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1,0.33,0.4,0.8,0.1103,0.67,0.6,"(0.33, 0.4, 0.6)","(0.67, 0.6, 0.8)",,right,1,0.3275
15,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1477,0.67,1,0.4,0.105,0.67,0.6,"(0.67, 1, 0.6)","(0.67, 0.6, 0.4)",,left,1,0.2942
16,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1103,0.67,0.8,1,0.1276,1.0,1.0,"(0.67, 0.8, 0.4)","(1, 1, 1)",,right,1,0.3085
17,2023-12-07_14h17.57.163,38,23,Female,1,0.1158,1,0.4,0.6,0.134,1.0,0.4,"(1, 0.4, 1)","(1, 0.4, 0.6)",,right,1,0.3524
18,2023-12-07_14h17.57.163,38,23,Female,1,0.1407,0.33,0.4,0.4,0.1407,1.0,0.6,"(0.33, 0.4, 1)","(1, 0.6, 0.4)",,left,0,0.2948
19,2023-12-07_14h17.57.163,38,23,Female,0.8,0.134,0.67,0.4,0.4,0.134,1.0,0.6,"(0.67, 0.4, 0.8)","(1, 0.6, 0.4)",,left,0,0.3426
20,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1,0.33,1,0.4,0.1,0.33,0.6,"(0.33, 1, 0.8)","(0.33, 0.6, 0.4)",,right,0,0.3223
21,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1216,0.33,1,0.8,0.1,0.33,0.6,"(0.33, 1, 0.6)","(0.33, 0.6, 0.8)",,left,1,0.3316
22,2023-12-07_14h17.57.163,38,23,Female,0.6,0.105,0.33,0.6,0.6,0.1477,0.33,0.4,"(0.33, 0.6, 0.6)","(0.33, 0.4, 0.6)",,right,1,0.3028
23,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1103,0.33,0.8,0.6,0.1,1.0,1.0,"(0.33, 0.8, 0.4)","(1, 1, 0.6)",,left,1,0.344
24,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1477,0.67,0.8,1,0.1551,0.33,0.4,"(0.67, 0.8, 0.8)","(0.33, 0.4, 1)",,left,0,0.3372
25,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1158,0.67,0.6,0.8,0.1477,0.33,0.4,"(0.67, 0.6, 0.6)","(0.33, 0.4, 0.8)",,right,1,0.2966
26,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1477,0.33,0.4,0.6,0.1407,0.33,0.6,"(0.33, 0.4, 0.4)","(0.33, 0.6, 0.6)",,left,1,0.3099
27,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1551,1,0.6,0.8,0.1407,0.33,0.6,"(1, 0.6, 0.8)","(0.33, 0.6, 0.8)",,left,1,0.3009
28,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1477,0.67,1,0.6,0.1551,0.67,1.0,"(0.67, 1, 0.4)","(0.67, 1, 0.6)",,right,1,0.3104
29,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1276,0.33,0.4,0.6,0.1158,0.67,0.4,"(0.33, 0.4, 0.6)","(0.67, 0.4, 0.6)",,left,1,0.3033
30,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1276,0.33,0.4,0.8,0.134,0.67,0.8,"(0.33, 0.4, 0.8)","(0.67, 0.8, 0.8)",,right,1,0.3314
31,2023-12-07_14h17.57.163,38,23,Female,0.4,0.134,0.67,0.8,0.6,0.1276,1.0,1.0,"(0.67, 0.8, 0.4)","(1, 1, 0.6)",,right,0,0.3843
32,2023-12-07_14h17.57.163,38,23,Female,1,0.1551,0.33,0.6,0.4,0.105,1.0,1.0,"(0.33, 0.6, 1)","(1, 1, 0.4)",,left,1,0.3234
33,2023-12-07_14h17.57.163,38,23,Female,0.8,0.1103,0.67,1,1,0.1477,0.67,0.4,"(0.67, 1, 0.8)","(0.67, 0.4, 1)",,right,1,0.3349
34,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1407,0.67,1,0.6,0.1276,0.33,0.4,"(0.67, 1, 0.4)","(0.33, 0.4, 0.6)",,left,1,0.3321
35,2023-12-07_14h17.57.163,38,23,Female,0.4,0.1407,1,0.6,0.6,0.1407,1.0,0.4,"(1, 0.6, 0.4)","(1, 0.4, 0.6)",,right,0,0.3896
36,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1103,0.67,0.4,0.6,0.1276,0.33,0.8,"(0.67, 0.4, 0.6)","(0.33, 0.8, 0.6)",,right,1,0.3126
37,2023-12-07_14h17.57.163,38,23,Female,1,0.1,0.67,1,1,0.1103,0.33,1.0,"(0.67, 1, 1)","(0.33, 1, 1)",,left,0,0.3212
38,2023-12-07_14h17.57.163,38,23,Female,0.6,0.1407,0.33,1,0.6,0.1,1.0,0.4,"(0.33, 1, 0.6)","(1, 0.4, 0.6)",,left,1,0.3114
39,2023-12-07_14h17.57.163,38,23,Female,1,0.1158,0.33,0.6,0.6,0.1276,1.0,1.0,"(0.33, 0.6, 1)","(1, 1, 0.6)",,left,0,0.4318
