,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-04_14h12.39.227,3,27,Male,1,0.1551,0.67,1,1,0.105,0.33,0.6,"(0.67, 1, 1)","(0.33, 0.6, 1)",,left,1,0.7421
1,2023-12-04_14h12.39.227,3,27,Male,1,0.1103,0.33,0.6,0.4,0.1276,1.0,0.6,"(0.33, 0.6, 1)","(1, 0.6, 0.4)",,right,1,0.3012
2,2023-12-04_14h12.39.227,3,27,Male,0.4,0.134,0.33,0.8,1,0.1407,0.33,0.4,"(0.33, 0.8, 0.4)","(0.33, 0.4, 1)",,right,1,0.3819
3,2023-12-04_14h12.39.227,3,27,Male,0.4,0.1216,0.67,0.6,1,0.134,0.33,0.8,"(0.67, 0.6, 0.4)","(0.33, 0.8, 1)",,right,1,0.4593
4,2023-12-04_14h12.39.227,3,27,Male,0.4,0.1,0.67,0.6,0.6,0.1158,0.33,0.8,"(0.67, 0.6, 0.4)","(0.33, 0.8, 0.6)",,right,1,0.441
5,2023-12-04_14h12.39.227,3,27,Male,0.4,0.105,0.67,0.6,0.4,0.1407,1.0,0.6,"(0.67, 0.6, 0.4)","(1, 0.6, 0.4)",,right,1,0.377
6,2023-12-04_14h12.39.227,3,27,Male,0.6,0.1407,0.67,1,0.6,0.1551,0.33,0.6,"(0.67, 1, 0.6)","(0.33, 0.6, 0.6)",,right,1,0.4935
7,2023-12-04_14h12.39.227,3,27,Male,0.8,0.1158,0.33,0.4,0.4,0.105,0.33,1.0,"(0.33, 0.4, 0.8)","(0.33, 1, 0.4)",,left,1,0.3098
8,2023-12-04_14h12.39.227,3,27,Male,0.4,0.105,0.67,0.4,0.8,0.1407,0.67,0.4,"(0.67, 0.4, 0.4)","(0.67, 0.4, 0.8)",,right,1,0.2579
9,2023-12-04_14h12.39.227,3,27,Male,1,0.1477,1.0,0.4,0.6,0.1477,0.67,0.4,"(1, 0.4, 1)","(0.67, 0.4, 0.6)",,left,0,0.2608
10,2023-12-04_14h12.39.227,3,27,Male,0.4,0.1407,0.33,0.4,0.6,0.1158,0.67,0.8,"(0.33, 0.4, 0.4)","(0.67, 0.8, 0.6)",,left,1,0.2563
11,2023-12-04_14h12.39.227,3,27,Male,0.4,0.1103,1.0,0.4,1,0.134,0.33,0.6,"(1, 0.4, 0.4)","(0.33, 0.6, 1)",,right,1,0.3323
12,2023-12-04_14h12.39.227,3,27,Male,0.8,0.105,0.33,1,0.4,0.1,0.33,0.6,"(0.33, 1, 0.8)","(0.33, 0.6, 0.4)",,left,1,0.2701
13,2023-12-04_14h12.39.227,3,27,Male,0.8,0.1551,0.33,1,0.6,0.1216,0.33,1.0,"(0.33, 1, 0.8)","(0.33, 1, 0.6)",,left,1,0.3373
14,2023-12-04_14h12.39.227,3,27,Male,0.4,0.1276,0.33,1,1,0.1276,0.33,1.0,"(0.33, 1, 0.4)","(0.33, 1, 1)",,right,0,0.3591
15,2023-12-04_14h12.39.227,3,27,Male,0.8,0.1551,1.0,1,0.8,0.1216,0.67,0.6,"(1, 1, 0.8)","(0.67, 0.6, 0.8)",,left,1,0.2327
16,2023-12-04_14h12.39.227,3,27,Male,0.6,0.1,0.67,0.6,0.8,0.1,0.67,0.4,"(0.67, 0.6, 0.6)","(0.67, 0.4, 0.8)",,left,0,0.5414
