,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1103,0.33,0.6,0.8,0.1103,0.33,1,"(0.33, 0.6, 0.6)","(0.33, 1, 0.8)",,left,0,1.1981
1,2023-12-07_14h21.27.731,40,23,Female,0.4,0.1158,1.0,1.0,0.4,0.1158,0.67,1,"(1, 1, 0.4)","(0.67, 1, 0.4)",,left,0,1.1935
2,2023-12-07_14h21.27.731,40,23,Female,0.4,0.1103,1.0,1.0,1.0,0.105,1.0,0.4,"(1, 1, 0.4)","(1, 0.4, 1)",,left,1,0.951
3,2023-12-07_14h21.27.731,40,23,Female,0.4,0.134,0.33,1.0,0.6,0.1216,0.67,0.6,"(0.33, 1, 0.4)","(0.67, 0.6, 0.6)",,right,0,0.9871
4,2023-12-07_14h21.27.731,40,23,Female,0.4,0.1216,0.33,0.8,0.6,0.1477,1.0,1,"(0.33, 0.8, 0.4)","(1, 1, 0.6)",,right,1,0.6268
5,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1407,1.0,0.6,0.4,0.1103,0.67,0.8,"(1, 0.6, 1)","(0.67, 0.8, 0.4)",,left,1,0.4807
6,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1,0.67,1.0,0.6,0.1407,0.67,1,"(0.67, 1, 0.8)","(0.67, 1, 0.6)",,right,1,0.385
7,2023-12-07_14h21.27.731,40,23,Female,0.4,0.1407,1.0,0.6,0.6,0.134,0.67,0.4,"(1, 0.6, 0.4)","(0.67, 0.4, 0.6)",,left,1,0.3078
8,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1276,1.0,0.6,0.6,0.1407,0.33,0.6,"(1, 0.6, 1)","(0.33, 0.6, 0.6)",,right,1,0.4223
9,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1158,1.0,0.6,0.8,0.1276,0.67,0.6,"(1, 0.6, 1)","(0.67, 0.6, 0.8)",,left,0,1.3857
10,2023-12-07_14h21.27.731,40,23,Female,1.0,0.105,0.33,1.0,0.8,0.1477,1.0,0.4,"(0.33, 1, 1)","(1, 0.4, 0.8)",,right,1,0.7545
11,2023-12-07_14h21.27.731,40,23,Female,0.6,0.105,0.33,0.4,0.6,0.134,0.33,1,"(0.33, 0.4, 0.6)","(0.33, 1, 0.6)",,left,0,1.0354
12,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1,0.33,0.4,0.8,0.1,0.67,1,"(0.33, 0.4, 1)","(0.67, 1, 0.8)",,right,0,0.7895
13,2023-12-07_14h21.27.731,40,23,Female,0.4,0.1551,0.67,1.0,0.8,0.1551,0.33,0.4,"(0.67, 1, 0.4)","(0.33, 0.4, 0.8)",,right,0,0.4745
14,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1276,0.33,0.6,0.4,0.1407,0.67,0.8,"(0.33, 0.6, 0.8)","(0.67, 0.8, 0.4)",,right,1,0.4985
15,2023-12-07_14h21.27.731,40,23,Female,1.0,0.105,0.67,1.0,0.8,0.1103,0.67,0.8,"(0.67, 1, 1)","(0.67, 0.8, 0.8)",,right,1,0.5368
16,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1158,1.0,0.8,0.6,0.1158,0.33,0.4,"(1, 0.8, 0.6)","(0.33, 0.4, 0.6)",,right,0,0.4949
17,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1216,0.33,0.4,0.8,0.1477,1.0,0.4,"(0.33, 0.4, 0.8)","(1, 0.4, 0.8)",,right,1,0.3552
18,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1,1.0,1.0,0.8,0.1407,1.0,0.8,"(1, 1, 1)","(1, 0.8, 0.8)",,right,1,0.3735
19,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1158,0.33,0.8,0.6,0.134,1.0,0.6,"(0.33, 0.8, 0.8)","(1, 0.6, 0.6)",,right,1,0.2595
20,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1103,0.33,0.8,0.8,0.105,0.33,0.8,"(0.33, 0.8, 1)","(0.33, 0.8, 0.8)",,left,1,0.5311
21,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1158,1.0,1.0,0.4,0.1216,0.33,0.8,"(1, 1, 0.6)","(0.33, 0.8, 0.4)",,left,0,0.8131
22,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1158,0.67,0.4,0.6,0.1551,0.33,1,"(0.67, 0.4, 0.8)","(0.33, 1, 0.6)",,right,1,0.3258
23,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1407,0.67,0.8,1.0,0.1276,0.33,0.8,"(0.67, 0.8, 0.6)","(0.33, 0.8, 1)",,left,1,0.3899
24,2023-12-07_14h21.27.731,40,23,Female,0.8,0.134,0.33,0.6,0.4,0.1,1.0,1,"(0.33, 0.6, 0.8)","(1, 1, 0.4)",,left,1,0.7141
25,2023-12-07_14h21.27.731,40,23,Female,1.0,0.1158,1.0,0.8,1.0,0.1276,0.67,0.6,"(1, 0.8, 1)","(0.67, 0.6, 1)",,right,1,0.4588
26,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1477,1.0,1.0,0.8,0.105,1.0,0.8,"(1, 1, 0.6)","(1, 0.8, 0.8)",,left,1,0.4397
27,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1158,0.33,0.6,1.0,0.1,0.67,1,"(0.33, 0.6, 0.8)","(0.67, 1, 1)",,left,1,0.6755
28,2023-12-07_14h21.27.731,40,23,Female,0.6,0.1477,0.67,0.4,0.4,0.1407,0.33,0.6,"(0.67, 0.4, 0.6)","(0.33, 0.6, 0.4)",,left,1,0.4466
29,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1158,1.0,1.0,1.0,0.1551,0.67,0.6,"(1, 1, 0.8)","(0.67, 0.6, 1)",,right,1,0.3337
30,2023-12-07_14h21.27.731,40,23,Female,0.4,0.105,0.67,0.4,0.4,0.1158,0.33,0.4,"(0.67, 0.4, 0.4)","(0.33, 0.4, 0.4)",,right,1,0.4553
31,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1477,0.33,0.8,0.6,0.1407,0.67,0.8,"(0.33, 0.8, 0.8)","(0.67, 0.8, 0.6)",,left,1,0.5947
32,2023-12-07_14h21.27.731,40,23,Female,0.8,0.1158,1.0,0.6,0.6,0.1551,1.0,0.4,"(1, 0.6, 0.8)","(1, 0.4, 0.6)",,right,1,0.5024
33,2023-12-07_14h21.27.731,40,23,Female,0.4,0.105,0.33,1.0,1.0,0.1103,1.0,1,"(0.33, 1, 0.4)","(1, 1, 1)",,left,0,0.4859
