,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-05_13h35.32.425,11,23,Female,1,0.1103,1,0.6,0.4,0.1276,1,0.4,"(1, 0.6, 1)","(1, 0.4, 0.4)",,left,0,0.6596
1,2023-12-05_13h35.32.425,11,23,Female,1,0.1,0.33,0.6,0.4,0.1276,0.67,0.4,"(0.33, 0.6, 1)","(0.67, 0.4, 0.4)",,right,1,0.2918
2,2023-12-05_13h35.32.425,11,23,Female,0.4,0.134,0.33,1.0,0.8,0.1477,0.67,0.8,"(0.33, 1, 0.4)","(0.67, 0.8, 0.8)",,right,1,0.4248
3,2023-12-05_13h35.32.425,11,23,Female,1,0.1477,0.67,1.0,1.0,0.1276,0.67,0.4,"(0.67, 1, 1)","(0.67, 0.4, 1)",,left,1,0.2293
4,2023-12-05_13h35.32.425,11,23,Female,0.8,0.1477,1,0.4,1.0,0.1477,1,1.0,"(1, 0.4, 0.8)","(1, 1, 1)",,left,0,0.3939
5,2023-12-05_13h35.32.425,11,23,Female,0.6,0.105,0.33,0.8,0.8,0.1103,0.33,0.4,"(0.33, 0.8, 0.6)","(0.33, 0.4, 0.8)",,right,1,0.3398
6,2023-12-05_13h35.32.425,11,23,Female,0.8,0.1551,0.33,0.6,0.4,0.1,0.33,1.0,"(0.33, 0.6, 0.8)","(0.33, 1, 0.4)",,left,1,0.3273
7,2023-12-05_13h35.32.425,11,23,Female,0.8,0.1158,0.67,0.4,1.0,0.134,1,0.4,"(0.67, 0.4, 0.8)","(1, 0.4, 1)",,right,1,0.2476
8,2023-12-05_13h35.32.425,11,23,Female,0.6,0.1477,0.67,0.6,0.4,0.1103,1,0.4,"(0.67, 0.6, 0.6)","(1, 0.4, 0.4)",,left,1,0.2749
9,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1407,0.67,1.0,0.4,0.1477,0.33,0.6,"(0.67, 1, 0.4)","(0.33, 0.6, 0.4)",,right,1,0.4213
10,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1407,0.67,1.0,0.6,0.1,0.33,0.8,"(0.67, 1, 0.4)","(0.33, 0.8, 0.6)",,left,1,0.2882
11,2023-12-05_13h35.32.425,11,23,Female,0.4,0.134,0.33,0.4,1.0,0.1216,0.67,0.4,"(0.33, 0.4, 0.4)","(0.67, 0.4, 1)",,left,1,0.4853
12,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1216,0.67,0.4,1.0,0.1216,1,0.8,"(0.67, 0.4, 0.4)","(1, 0.8, 1)",,right,0,0.3588
13,2023-12-05_13h35.32.425,11,23,Female,0.8,0.1,1,0.4,1.0,0.1551,0.67,0.4,"(1, 0.4, 0.8)","(0.67, 0.4, 1)",,right,1,0.3073
14,2023-12-05_13h35.32.425,11,23,Female,1,0.134,1,0.6,0.6,0.1158,0.33,0.6,"(1, 0.6, 1)","(0.33, 0.6, 0.6)",,left,1,0.3134
15,2023-12-05_13h35.32.425,11,23,Female,1,0.1103,0.33,0.6,0.6,0.1103,0.33,0.6,"(0.33, 0.6, 1)","(0.33, 0.6, 0.6)",,right,0,0.4117
16,2023-12-05_13h35.32.425,11,23,Female,0.6,0.1,1,0.8,0.8,0.1477,1,1.0,"(1, 0.8, 0.6)","(1, 1, 0.8)",,right,1,0.3769
17,2023-12-05_13h35.32.425,11,23,Female,0.8,0.1407,1,0.8,1.0,0.134,1,1.0,"(1, 0.8, 0.8)","(1, 1, 1)",,left,1,0.3584
18,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1,1,1.0,0.6,0.1103,1,0.6,"(1, 1, 0.4)","(1, 0.6, 0.6)",,left,0,0.6063
19,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1407,0.33,1.0,0.4,0.1477,0.33,0.8,"(0.33, 1, 0.4)","(0.33, 0.8, 0.4)",,left,0,0.5732
20,2023-12-05_13h35.32.425,11,23,Female,0.6,0.1216,0.67,0.6,0.4,0.1103,0.67,1.0,"(0.67, 0.6, 0.6)","(0.67, 1, 0.4)",,left,1,0.458
21,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1103,1,0.8,0.6,0.1103,0.67,0.8,"(1, 0.8, 0.4)","(0.67, 0.8, 0.6)",,right,0,0.3577
22,2023-12-05_13h35.32.425,11,23,Female,1,0.1158,1,0.8,0.4,0.1407,0.33,0.8,"(1, 0.8, 1)","(0.33, 0.8, 0.4)",,right,1,0.3662
23,2023-12-05_13h35.32.425,11,23,Female,0.4,0.1276,1,0.4,1.0,0.134,0.33,1.0,"(1, 0.4, 0.4)","(0.33, 1, 1)",,left,0,0.4697
