,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-07_12h21.50.947,34,22,Male,0.8,0.105,1,1,1,0.1477,1,0.8,"(1, 1, 0.8)","(1, 0.8, 1)",,right,1,1.2092
1,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1477,0.67,0.8,1,0.1,1,1.0,"(0.67, 0.8, 0.8)","(1, 1, 1)",,left,1,0.5242
2,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1407,0.67,0.8,0.6,0.1158,0.67,0.4,"(0.67, 0.8, 0.4)","(0.67, 0.4, 0.6)",,left,1,0.5105
3,2023-12-07_12h21.50.947,34,22,Male,0.8,0.134,0.67,0.8,0.6,0.1276,0.67,0.8,"(0.67, 0.8, 0.8)","(0.67, 0.8, 0.6)",,right,0,0.4943
4,2023-12-07_12h21.50.947,34,22,Male,1.0,0.105,0.33,0.4,0.4,0.1551,0.33,0.4,"(0.33, 0.4, 1)","(0.33, 0.4, 0.4)",,right,1,0.4187
5,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1216,0.67,0.6,1,0.1,0.33,0.8,"(0.67, 0.6, 0.4)","(0.33, 0.8, 1)",,left,1,0.4451
6,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1477,0.67,0.4,1,0.105,1,0.8,"(0.67, 0.4, 0.4)","(1, 0.8, 1)",,left,1,0.4491
7,2023-12-07_12h21.50.947,34,22,Male,0.6,0.1407,0.67,0.8,0.6,0.1276,1,0.8,"(0.67, 0.8, 0.6)","(1, 0.8, 0.6)",,right,0,0.4993
8,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1407,1,0.8,0.8,0.134,0.33,0.6,"(1, 0.8, 0.8)","(0.33, 0.6, 0.8)",,left,1,0.4926
9,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1,0.33,0.6,0.8,0.1407,0.33,0.8,"(0.33, 0.6, 0.8)","(0.33, 0.8, 0.8)",,right,1,0.3754
10,2023-12-07_12h21.50.947,34,22,Male,0.4,0.105,1,0.6,0.4,0.1551,0.33,1.0,"(1, 0.6, 0.4)","(0.33, 1, 0.4)",,right,1,0.3819
11,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1551,1,1,0.4,0.1276,1,0.6,"(1, 1, 0.4)","(1, 0.6, 0.4)",,left,1,0.3899
12,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1158,0.33,0.6,0.8,0.1158,0.67,0.8,"(0.33, 0.6, 1)","(0.67, 0.8, 0.8)",,right,0,0.566
13,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1158,0.33,0.6,0.4,0.1407,0.33,0.6,"(0.33, 0.6, 0.4)","(0.33, 0.6, 0.4)",,right,1,0.3343
14,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1276,0.33,0.4,0.6,0.1551,0.67,1.0,"(0.33, 0.4, 0.4)","(0.67, 1, 0.6)",,right,1,0.3703
15,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1,0.33,0.8,0.4,0.1158,1,0.6,"(0.33, 0.8, 0.8)","(1, 0.6, 0.4)",,left,0,0.44
16,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1158,0.67,1,0.6,0.134,0.33,0.6,"(0.67, 1, 0.4)","(0.33, 0.6, 0.6)",,right,1,0.4121
17,2023-12-07_12h21.50.947,34,22,Male,0.4,0.105,0.33,0.6,0.8,0.1551,0.33,0.6,"(0.33, 0.6, 0.4)","(0.33, 0.6, 0.8)",,right,1,0.3802
18,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1407,0.67,0.4,0.4,0.1276,1,1.0,"(0.67, 0.4, 0.8)","(1, 1, 0.4)",,left,1,0.3663
19,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1551,0.67,0.8,0.4,0.1551,0.33,0.6,"(0.67, 0.8, 1)","(0.33, 0.6, 0.4)",,left,0,0.4808
20,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1477,0.67,0.8,0.4,0.1158,0.67,0.4,"(0.67, 0.8, 0.4)","(0.67, 0.4, 0.4)",,left,1,0.3952
21,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1276,1,0.4,1,0.1216,1,0.6,"(1, 0.4, 1)","(1, 0.6, 1)",,right,0,0.4233
22,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1551,1,0.4,1,0.1158,0.67,0.4,"(1, 0.4, 0.4)","(0.67, 0.4, 1)",,left,1,0.4149
23,2023-12-07_12h21.50.947,34,22,Male,0.4,0.105,1,0.6,0.8,0.1407,0.33,0.8,"(1, 0.6, 0.4)","(0.33, 0.8, 0.8)",,right,1,0.3393
24,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1,0.33,0.8,1,0.105,1,0.6,"(0.33, 0.8, 0.4)","(1, 0.6, 1)",,left,0,0.4281
25,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1,0.67,0.4,1,0.1,0.33,0.8,"(0.67, 0.4, 0.4)","(0.33, 0.8, 1)",,left,0,0.4099
26,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1,0.33,1,0.6,0.1103,1,1.0,"(0.33, 1, 0.8)","(1, 1, 0.6)",,right,1,0.4122
27,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1407,1,1,1,0.1551,0.67,0.6,"(1, 1, 0.8)","(0.67, 0.6, 1)",,right,1,0.4493
28,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1158,0.33,0.4,0.4,0.1216,1,0.6,"(0.33, 0.4, 0.8)","(1, 0.6, 0.4)",,left,0,0.3795
29,2023-12-07_12h21.50.947,34,22,Male,0.4,0.134,0.67,1,1,0.134,0.67,1.0,"(0.67, 1, 0.4)","(0.67, 1, 1)",,left,0,0.4084
30,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1407,0.67,0.8,0.6,0.1276,1,1.0,"(0.67, 0.8, 0.4)","(1, 1, 0.6)",,left,1,0.3976
31,2023-12-07_12h21.50.947,34,22,Male,0.6,0.134,0.33,0.4,0.6,0.1551,0.33,0.8,"(0.33, 0.4, 0.6)","(0.33, 0.8, 0.6)",,right,1,0.4335
32,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1551,0.67,1,1,0.1158,1,0.4,"(0.67, 1, 1)","(1, 0.4, 1)",,left,1,0.3977
33,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1216,0.67,0.8,0.6,0.105,0.67,0.6,"(0.67, 0.8, 1)","(0.67, 0.6, 0.6)",,right,0,0.4516
34,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1477,0.33,0.6,1,0.1158,1,1.0,"(0.33, 0.6, 0.8)","(1, 1, 1)",,left,1,0.412
35,2023-12-07_12h21.50.947,34,22,Male,0.6,0.1407,0.67,1,1,0.134,1,0.6,"(0.67, 1, 0.6)","(1, 0.6, 1)",,right,0,0.5232
36,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1477,1,1,0.6,0.1276,0.67,1.0,"(1, 1, 0.4)","(0.67, 1, 0.6)",,right,0,0.42
37,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1158,0.33,0.4,0.8,0.1103,0.33,0.6,"(0.33, 0.4, 0.8)","(0.33, 0.6, 0.8)",,right,0,0.4221
38,2023-12-07_12h21.50.947,34,22,Male,0.6,0.1158,0.67,0.6,1,0.1103,1,0.6,"(0.67, 0.6, 0.6)","(1, 0.6, 1)",,right,0,0.3745
39,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1276,0.33,0.4,0.4,0.1551,0.67,0.8,"(0.33, 0.4, 1)","(0.67, 0.8, 0.4)",,right,1,0.4104
40,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1216,0.33,0.4,1,0.105,1,1.0,"(0.33, 0.4, 1)","(1, 1, 1)",,left,1,0.3868
41,2023-12-07_12h21.50.947,34,22,Male,0.4,0.1407,0.33,1,0.8,0.105,0.33,0.4,"(0.33, 1, 0.4)","(0.33, 0.4, 0.8)",,left,1,0.4023
42,2023-12-07_12h21.50.947,34,22,Male,1.0,0.105,0.67,0.4,0.8,0.1103,0.67,1.0,"(0.67, 0.4, 1)","(0.67, 1, 0.8)",,right,1,0.3484
43,2023-12-07_12h21.50.947,34,22,Male,0.6,0.134,0.67,0.8,0.4,0.1158,0.67,1.0,"(0.67, 0.8, 0.6)","(0.67, 1, 0.4)",,left,1,0.7632
44,2023-12-07_12h21.50.947,34,22,Male,0.4,0.134,1,0.6,0.4,0.105,0.33,0.6,"(1, 0.6, 0.4)","(0.33, 0.6, 0.4)",,left,1,0.3607
45,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1,1,0.6,1,0.1276,0.33,0.6,"(1, 0.6, 1)","(0.33, 0.6, 1)",,right,1,0.3493
46,2023-12-07_12h21.50.947,34,22,Male,0.8,0.105,0.67,0.4,0.8,0.1,0.67,0.8,"(0.67, 0.4, 0.8)","(0.67, 0.8, 0.8)",,left,1,0.3992
47,2023-12-07_12h21.50.947,34,22,Male,1.0,0.1407,0.33,0.4,0.6,0.1276,1,0.6,"(0.33, 0.4, 1)","(1, 0.6, 0.6)",,left,1,0.343
48,2023-12-07_12h21.50.947,34,22,Male,0.8,0.1,0.67,0.6,1,0.1477,0.67,1.0,"(0.67, 0.6, 0.8)","(0.67, 1, 1)",,right,1,0.3686
49,2023-12-07_12h21.50.947,34,22,Male,0.6,0.1276,0.33,0.8,0.4,0.1,1,0.6,"(0.33, 0.8, 0.6)","(1, 0.6, 0.4)",,left,1,0.3909
