,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-05_13h45.42.405,14,23,Female,0.6,0.105,0.33,0.6,0.4,0.1407,0.33,0.4,"(0.33, 0.6, 0.6)","(0.33, 0.4, 0.4)",,right,1,0.8868
1,2023-12-05_13h45.42.405,14,23,Female,0.8,0.134,0.67,0.6,0.8,0.1,1.0,0.4,"(0.67, 0.6, 0.8)","(1, 0.4, 0.8)",,left,1,0.1656
2,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1551,0.33,0.8,1.0,0.1216,0.33,0.6,"(0.33, 0.8, 0.8)","(0.33, 0.6, 1)",,left,1,0.274
3,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1276,1.0,0.4,0.6,0.1276,0.67,0.6,"(1, 0.4, 0.6)","(0.67, 0.6, 0.6)",,left,0,0.2098
4,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1,0.33,0.4,0.8,0.134,1.0,0.8,"(0.33, 0.4, 0.6)","(1, 0.8, 0.8)",,right,1,0.1687
5,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1407,1.0,0.4,0.4,0.1477,0.33,0.8,"(1, 0.4, 1)","(0.33, 0.8, 0.4)",,left,0,0.1561
6,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1407,0.33,1.0,0.4,0.1551,1.0,0.8,"(0.33, 1, 0.6)","(1, 0.8, 0.4)",,right,1,0.0988
7,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1216,0.67,0.4,0.8,0.1276,0.67,0.4,"(0.67, 0.4, 0.8)","(0.67, 0.4, 0.8)",,left,0,0.0972
8,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1158,1.0,1.0,0.4,0.1407,1.0,0.4,"(1, 1, 0.4)","(1, 0.4, 0.4)",,right,1,0.0547
9,2023-12-05_13h45.42.405,14,23,Female,0.8,0.105,1.0,0.6,0.8,0.1276,0.67,0.6,"(1, 0.6, 0.8)","(0.67, 0.6, 0.8)",,left,0,0.1036
10,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1216,1.0,0.4,1.0,0.1407,0.67,1.0,"(1, 0.4, 0.8)","(0.67, 1, 1)",,right,1,15.2926
11,2023-12-05_13h45.42.405,14,23,Female,0.8,0.134,0.67,1.0,0.6,0.1477,0.67,0.6,"(0.67, 1, 0.8)","(0.67, 0.6, 0.6)",,left,0,0.2532
12,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1103,0.33,0.6,0.8,0.134,0.67,0.8,"(0.33, 0.6, 0.4)","(0.67, 0.8, 0.8)",,right,1,0.3171
13,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1216,0.33,1.0,0.8,0.1477,1.0,0.4,"(0.33, 1, 1)","(1, 0.4, 0.8)",,left,0,0.2253
14,2023-12-05_13h45.42.405,14,23,Female,1.0,0.134,0.67,1.0,0.8,0.1,0.67,1.0,"(0.67, 1, 1)","(0.67, 1, 0.8)",,left,1,0.2767
15,2023-12-05_13h45.42.405,14,23,Female,0.6,0.105,0.33,1.0,0.4,0.134,0.33,1.0,"(0.33, 1, 0.6)","(0.33, 1, 0.4)",,right,1,0.288
16,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1276,0.67,0.6,0.6,0.1216,0.33,0.8,"(0.67, 0.6, 0.6)","(0.33, 0.8, 0.6)",,left,1,0.1486
17,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1158,0.33,0.4,1.0,0.134,0.67,1.0,"(0.33, 0.4, 0.4)","(0.67, 1, 1)",,right,1,0.1668
18,2023-12-05_13h45.42.405,14,23,Female,0.6,0.134,0.33,0.8,0.6,0.1216,1.0,0.8,"(0.33, 0.8, 0.6)","(1, 0.8, 0.6)",,left,1,0.1177
19,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1103,0.67,0.4,0.8,0.134,1.0,0.4,"(0.67, 0.4, 0.8)","(1, 0.4, 0.8)",,left,0,0.2044
20,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1158,0.33,0.4,0.8,0.134,0.33,0.4,"(0.33, 0.4, 0.6)","(0.33, 0.4, 0.8)",,right,1,0.0425
21,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1,1.0,1.0,0.6,0.1551,0.67,0.6,"(1, 1, 1)","(0.67, 0.6, 0.6)",,left,0,0.1197
22,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1103,0.33,1.0,0.6,0.1276,0.67,0.8,"(0.33, 1, 0.8)","(0.67, 0.8, 0.6)",,right,1,0.1469
23,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1407,0.67,0.6,0.6,0.1276,0.33,1.0,"(0.67, 0.6, 1)","(0.33, 1, 0.6)",,left,1,0.079
24,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1551,0.67,0.8,0.6,0.105,1.0,0.4,"(0.67, 0.8, 0.8)","(1, 0.4, 0.6)",,left,1,0.1668
25,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1216,1.0,0.8,0.6,0.1407,1.0,0.4,"(1, 0.8, 0.4)","(1, 0.4, 0.6)",,right,1,0.2967
26,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1551,0.33,1.0,0.8,0.1477,0.33,0.4,"(0.33, 1, 1)","(0.33, 0.4, 0.8)",,left,1,0.115
27,2023-12-05_13h45.42.405,14,23,Female,1.0,0.1551,1.0,0.6,0.4,0.1103,1.0,0.6,"(1, 0.6, 1)","(1, 0.6, 0.4)",,left,1,0.2136
28,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1103,0.67,1.0,1.0,0.1,0.67,0.4,"(0.67, 1, 0.8)","(0.67, 0.4, 1)",,right,0,0.2975
29,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1477,1.0,0.4,0.4,0.1276,0.33,1.0,"(1, 0.4, 0.4)","(0.33, 1, 0.4)",,left,1,0.0785
30,2023-12-05_13h45.42.405,14,23,Female,0.6,0.1407,0.67,1.0,1.0,0.134,0.33,0.6,"(0.67, 1, 0.6)","(0.33, 0.6, 1)",,left,1,0.2155
31,2023-12-05_13h45.42.405,14,23,Female,0.8,0.1276,1.0,0.8,0.8,0.134,0.33,0.4,"(1, 0.8, 0.8)","(0.33, 0.4, 0.8)",,left,0,0.1368
32,2023-12-05_13h45.42.405,14,23,Female,0.4,0.1551,1.0,0.4,0.4,0.1158,0.33,0.4,"(1, 0.4, 0.4)","(0.33, 0.4, 0.4)",,right,0,0.142
