,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-07_12h31.40.479,36,21,Female,0.4,0.105,0.33,0.4,0.6,0.1276,0.67,0.6,"(0.33, 0.4, 0.4)","(0.67, 0.6, 0.6)",,right,1,3.3002
1,2023-12-07_12h31.40.479,36,21,Female,1.0,0.1,0.33,1.0,0.8,0.1407,0.67,1.0,"(0.33, 1, 1)","(0.67, 1, 0.8)",,right,1,0.6495
2,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1276,1.0,0.4,0.8,0.1407,1.0,0.8,"(1, 0.4, 0.4)","(1, 0.8, 0.8)",,right,1,0.2885
3,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1103,0.67,0.6,0.6,0.134,1.0,0.8,"(0.67, 0.6, 0.4)","(1, 0.8, 0.6)",,right,1,0.2392
4,2023-12-07_12h31.40.479,36,21,Female,1.0,0.105,1.0,0.4,1.0,0.1407,1.0,1.0,"(1, 0.4, 1)","(1, 1, 1)",,right,1,0.2412
5,2023-12-07_12h31.40.479,36,21,Female,0.4,0.134,0.33,0.8,0.6,0.1477,1.0,1.0,"(0.33, 0.8, 0.4)","(1, 1, 0.6)",,right,1,0.1545
6,2023-12-07_12h31.40.479,36,21,Female,1.0,0.105,0.33,0.6,0.8,0.1158,0.33,1.0,"(0.33, 0.6, 1)","(0.33, 1, 0.8)",,right,1,0.4433
7,2023-12-07_12h31.40.479,36,21,Female,0.8,0.1216,1.0,0.6,1.0,0.1407,0.33,0.4,"(1, 0.6, 0.8)","(0.33, 0.4, 1)",,right,1,0.4319
8,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1477,0.67,0.6,0.8,0.1276,0.33,0.4,"(0.67, 0.6, 0.4)","(0.33, 0.4, 0.8)",,left,1,0.3178
9,2023-12-07_12h31.40.479,36,21,Female,1.0,0.105,1.0,0.8,1.0,0.1276,0.67,0.8,"(1, 0.8, 1)","(0.67, 0.8, 1)",,right,1,0.3318
10,2023-12-07_12h31.40.479,36,21,Female,0.6,0.1276,1.0,0.8,1.0,0.1407,0.67,0.6,"(1, 0.8, 0.6)","(0.67, 0.6, 1)",,right,1,0.2494
11,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1407,0.67,0.6,0.8,0.1158,0.33,0.8,"(0.67, 0.6, 0.4)","(0.33, 0.8, 0.8)",,left,1,0.1865
12,2023-12-07_12h31.40.479,36,21,Female,0.6,0.1407,1.0,0.8,0.4,0.1216,0.67,1.0,"(1, 0.8, 0.6)","(0.67, 1, 0.4)",,left,1,0.3795
13,2023-12-07_12h31.40.479,36,21,Female,0.6,0.1158,0.33,0.6,1.0,0.1103,0.67,0.4,"(0.33, 0.6, 0.6)","(0.67, 0.4, 1)",,left,1,0.2677
14,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1158,1.0,0.4,0.6,0.1551,0.33,1.0,"(1, 0.4, 0.4)","(0.33, 1, 0.6)",,right,1,0.2449
15,2023-12-07_12h31.40.479,36,21,Female,0.4,0.134,0.33,0.6,0.4,0.1276,0.67,1.0,"(0.33, 0.6, 0.4)","(0.67, 1, 0.4)",,left,1,0.216
16,2023-12-07_12h31.40.479,36,21,Female,0.4,0.1407,1.0,1.0,0.8,0.1407,0.67,0.4,"(1, 1, 0.4)","(0.67, 0.4, 0.8)",,left,0,0.4909
17,2023-12-07_12h31.40.479,36,21,Female,0.6,0.1158,0.33,1.0,0.6,0.1,0.33,0.6,"(0.33, 1, 0.6)","(0.33, 0.6, 0.6)",,left,1,0.5291
18,2023-12-07_12h31.40.479,36,21,Female,1.0,0.1158,0.33,0.8,1.0,0.1158,1.0,0.6,"(0.33, 0.8, 1)","(1, 0.6, 1)",,right,0,0.6162
19,2023-12-07_12h31.40.479,36,21,Female,1.0,0.1216,1.0,0.4,0.6,0.1477,0.33,1.0,"(1, 0.4, 1)","(0.33, 1, 0.6)",,right,1,0.5139
20,2023-12-07_12h31.40.479,36,21,Female,0.8,0.1103,0.67,1.0,0.8,0.1276,0.33,0.4,"(0.67, 1, 0.8)","(0.33, 0.4, 0.8)",,left,0,0.2714
21,2023-12-07_12h31.40.479,36,21,Female,0.8,0.1216,0.33,0.4,0.4,0.1407,1.0,0.6,"(0.33, 0.4, 0.8)","(1, 0.6, 0.4)",,right,1,0.2059
