,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1158,1,1,0.8,0.1551,0.33,0.8,"(1, 1, 0.4)","(0.33, 0.8, 0.8)",,right,1,1.6144
1,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1216,0.67,0.6,1.0,0.1276,0.67,0.8,"(0.67, 0.6, 1)","(0.67, 0.8, 1)",,right,1,0.3863
2,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1477,0.33,0.8,1.0,0.1103,0.67,0.6,"(0.33, 0.8, 0.4)","(0.67, 0.6, 1)",,left,1,0.377
3,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1158,1,1,0.8,0.1103,0.33,0.6,"(1, 1, 0.6)","(0.33, 0.6, 0.8)",,right,0,0.411
4,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1407,0.33,0.8,1.0,0.1276,1.0,0.8,"(0.33, 0.8, 0.6)","(1, 0.8, 1)",,left,1,0.4871
5,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1276,0.67,1,0.8,0.1158,0.33,0.8,"(0.67, 1, 0.6)","(0.33, 0.8, 0.8)",,right,0,0.3588
6,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1158,1,0.4,0.6,0.1407,0.33,0.4,"(1, 0.4, 0.6)","(0.33, 0.4, 0.6)",,right,1,0.3255
7,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1158,0.67,1,0.4,0.1158,0.33,0.4,"(0.67, 1, 1)","(0.33, 0.4, 0.4)",,left,0,0.6241
8,2023-12-05_14h09.06.884,18,23,Female,0.8,0.1407,0.33,0.6,0.8,0.134,0.67,0.4,"(0.33, 0.6, 0.8)","(0.67, 0.4, 0.8)",,right,0,0.3773
9,2023-12-05_14h09.06.884,18,23,Female,0.8,0.1103,1,0.6,0.6,0.1,0.33,1.0,"(1, 0.6, 0.8)","(0.33, 1, 0.6)",,left,1,0.5929
10,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1103,0.33,1,0.8,0.1477,0.33,1.0,"(0.33, 1, 1)","(0.33, 1, 0.8)",,right,1,0.3305
11,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1216,0.67,0.4,1.0,0.1407,1.0,0.8,"(0.67, 0.4, 0.6)","(1, 0.8, 1)",,right,1,0.3328
12,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1551,0.67,1,0.6,0.1477,0.33,0.8,"(0.67, 1, 0.4)","(0.33, 0.8, 0.6)",,left,1,0.5084
13,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1276,1,0.8,0.6,0.105,0.33,0.6,"(1, 0.8, 0.6)","(0.33, 0.6, 0.6)",,left,1,0.4215
14,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1158,1,1,1.0,0.1,0.33,0.8,"(1, 1, 0.6)","(0.33, 0.8, 1)",,left,1,0.4978
15,2023-12-05_14h09.06.884,18,23,Female,0.4,0.134,0.33,0.4,1.0,0.1158,0.67,0.8,"(0.33, 0.4, 0.4)","(0.67, 0.8, 1)",,left,1,0.3857
16,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1158,1,1,1.0,0.1407,0.33,0.8,"(1, 1, 0.4)","(0.33, 0.8, 1)",,right,1,0.3646
17,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1216,0.67,1,0.8,0.1103,0.67,0.8,"(0.67, 1, 0.6)","(0.67, 0.8, 0.8)",,left,1,0.3238
18,2023-12-05_14h09.06.884,18,23,Female,0.4,0.134,1,0.4,0.4,0.1103,1.0,0.8,"(1, 0.4, 0.4)","(1, 0.8, 0.4)",,left,1,0.2881
19,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1216,0.67,1,0.8,0.134,0.67,0.6,"(0.67, 1, 0.6)","(0.67, 0.6, 0.8)",,right,1,0.3402
20,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1216,0.33,0.8,0.4,0.105,0.33,0.8,"(0.33, 0.8, 0.4)","(0.33, 0.8, 0.4)",,left,1,0.3622
21,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1477,0.67,1,1.0,0.1103,0.67,0.8,"(0.67, 1, 0.6)","(0.67, 0.8, 1)",,left,1,0.2775
22,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1551,0.33,0.8,0.8,0.1158,0.33,0.6,"(0.33, 0.8, 0.6)","(0.33, 0.6, 0.8)",,left,1,0.2463
23,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1,1,1,0.6,0.1103,1.0,0.4,"(1, 1, 1)","(1, 0.4, 0.6)",,right,1,0.3404
24,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1,0.67,0.4,0.8,0.1407,1.0,0.4,"(0.67, 0.4, 0.6)","(1, 0.4, 0.8)",,right,1,0.2552
25,2023-12-05_14h09.06.884,18,23,Female,0.8,0.1551,0.33,1,0.8,0.1,0.33,1.0,"(0.33, 1, 0.8)","(0.33, 1, 0.8)",,left,1,0.2578
26,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1,0.67,0.8,0.6,0.1477,1.0,0.8,"(0.67, 0.8, 1)","(1, 0.8, 0.6)",,right,1,0.1592
27,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1,1,0.6,1.0,0.1407,1.0,0.8,"(1, 0.6, 0.4)","(1, 0.8, 1)",,right,1,0.2565
28,2023-12-05_14h09.06.884,18,23,Female,0.8,0.105,0.67,0.8,1.0,0.1276,0.33,1.0,"(0.67, 0.8, 0.8)","(0.33, 1, 1)",,right,1,0.3738
29,2023-12-05_14h09.06.884,18,23,Female,0.8,0.1276,0.67,0.8,1.0,0.1551,0.67,0.4,"(0.67, 0.8, 0.8)","(0.67, 0.4, 1)",,right,1,0.3942
30,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1276,0.33,0.8,0.4,0.134,1.0,0.8,"(0.33, 0.8, 0.4)","(1, 0.8, 0.4)",,right,1,0.5152
31,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1103,0.33,1,0.4,0.1216,0.67,0.8,"(0.33, 1, 0.4)","(0.67, 0.8, 0.4)",,right,1,0.4099
32,2023-12-05_14h09.06.884,18,23,Female,0.4,0.1158,1,0.4,0.4,0.105,1.0,1.0,"(1, 0.4, 0.4)","(1, 1, 0.4)",,left,1,0.3512
33,2023-12-05_14h09.06.884,18,23,Female,1.0,0.1551,0.33,0.6,1.0,0.1276,1.0,0.8,"(0.33, 0.6, 1)","(1, 0.8, 1)",,left,1,0.2921
34,2023-12-05_14h09.06.884,18,23,Female,1.0,0.105,1,0.6,1.0,0.1,0.33,0.8,"(1, 0.6, 1)","(0.33, 0.8, 1)",,right,0,0.3367
35,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1216,0.67,0.6,1.0,0.105,1.0,0.6,"(0.67, 0.6, 0.6)","(1, 0.6, 1)",,left,1,0.3375
36,2023-12-05_14h09.06.884,18,23,Female,0.8,0.1158,0.33,0.6,0.4,0.1,1.0,0.8,"(0.33, 0.6, 0.8)","(1, 0.8, 0.4)",,left,1,0.5201
37,2023-12-05_14h09.06.884,18,23,Female,0.6,0.1407,0.67,0.6,1.0,0.1158,1.0,1.0,"(0.67, 0.6, 0.6)","(1, 1, 1)",,left,1,0.2688
