,time_stamp,id,age,gender,brightness_left,size_left,hue_left,brightness_right,size_right,hue_right,same_size,keypress,correct_choice,reaction_time,color_left,color_right
0,2023-12-01_12h43.55.139,2,,Female,0.0,0.17404603229076965,1.0,0.0,0.18645003471198288,0.0,0,left,0,0.5643737919999694,"(1.0, 0.0, 0.0)","(0.0, 1.0, 0.0)"
1,2023-12-01_12h43.55.139,2,,Female,1.0,0.1352782519959117,0.0,0.0,0.1954217804385939,1.0,0,right,1,0.5068946250030422,"(0.0, 0.0, 1.0)","(1.0, 0.0, 0.0)"
2,2023-12-01_12h43.55.139,2,,Female,1.0,0.15694084162953675,0.6666666666666666,1.0,0.11524966211784499,0.6666666666666666,0,left,1,0.55893529199966,"(0.6666666666666666, 1.0, 1.0, 0.6)","(0.6666666666666666, 1.0, 1.0, 0.8)"
3,2023-12-01_12h43.55.139,2,,Female,1.0,0.1425903393217919,0.6666666666666666,1.0,0.1924179291499842,0.3333333333333333,0,right,1,0.865297250002186,"(0.6666666666666666, 1.0, 1.0, 0.8)","(0.3333333333333333, 1.0, 1.0, 0.6)"
4,2023-12-01_12h43.55.139,2,,Female,1.0,0.11097440936470443,0.0,1.0,0.11655113751972968,0.6666666666666666,0,right,1,0.5993781670003955,"(0.0, 1.0, 1.0, 0.6)","(0.6666666666666666, 1.0, 1.0, 0.8)"
5,2023-12-01_12h43.55.139,2,,Female,1.0,0.14226126951482712,0.3333333333333333,1.0,0.14457316982894924,0.0,0,right,1,0.5539147909985331,"(0.3333333333333333, 1.0, 1.0, 0.2)","(0.0, 1.0, 1.0, 0.8)"
6,2023-12-01_12h43.55.139,2,,Female,1.0,0.1489915220589603,0.3333333333333333,1.0,0.1780117693511548,0.6666666666666666,0,right,1,0.7936624579997442,"(0.3333333333333333, 1.0, 1.0, 0.8, 1.0)","(0.6666666666666666, 1.0, 1.0, 0.2, 1.0)"
7,2023-12-01_12h43.55.139,2,,Female,1.0,0.13207665120960801,0.3333333333333333,1.0,0.11784906474540269,0.3333333333333333,0,right,0,0.9051411250002275,"(0.3333333333333333, 1.0, 1.0, 0.2)","(0.3333333333333333, 1.0, 1.0, 0.8)"
8,2023-12-01_12h43.55.139,2,,Female,0.0,0.16491791286893165,1.0,1.0,0.131193655291385,0.0,0,left,1,0.403854667001724,"(1.0, 0.0, 0.0)","(0.0, 0.0, 1.0)"
9,2023-12-01_12h43.55.139,2,,Female,0.0,0.12198550557824314,1.0,0.0,0.11090886634568507,0.0,0,right,0,0.533190582998941,"(1.0, 0.0, 0.0)","(0.0, 1.0, 0.0)"
