,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1216,0.33,0.6,0.6,0.1103,0.33,0.8,"(0.33, 0.6, 0.4)","(0.33, 0.8, 0.6)",,right,0,5.3637
1,2023-12-05_14h15.57.385,20,23,Male,0.6,0.1477,1.0,1.0,1.0,0.1103,0.33,0.6,"(1, 1, 0.6)","(0.33, 0.6, 1)",,left,1,0.4382
2,2023-12-05_14h15.57.385,20,23,Male,0.6,0.134,0.67,0.4,1.0,0.105,0.67,0.4,"(0.67, 0.4, 0.6)","(0.67, 0.4, 1)",,left,1,0.5267
3,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1,1.0,0.8,0.8,0.1407,1.0,1.0,"(1, 0.8, 0.8)","(1, 1, 0.8)",,right,1,0.3373
4,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1276,0.67,1.0,0.4,0.1158,0.33,0.4,"(0.67, 1, 0.4)","(0.33, 0.4, 0.4)",,left,1,0.6343
5,2023-12-05_14h15.57.385,20,23,Male,0.6,0.1103,1.0,0.6,0.6,0.1216,0.33,0.8,"(1, 0.6, 0.6)","(0.33, 0.8, 0.6)",,right,1,0.4517
6,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1,1.0,0.4,0.6,0.1216,0.67,0.4,"(1, 0.4, 0.8)","(0.67, 0.4, 0.6)",,right,1,0.5873
7,2023-12-05_14h15.57.385,20,23,Male,0.6,0.1551,0.67,0.8,0.8,0.134,1.0,0.8,"(0.67, 0.8, 0.6)","(1, 0.8, 0.8)",,left,1,0.3536
8,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1103,1.0,0.6,0.4,0.1477,0.33,0.8,"(1, 0.6, 0.8)","(0.33, 0.8, 0.4)",,right,1,0.3535
9,2023-12-05_14h15.57.385,20,23,Male,1.0,0.1276,0.67,1.0,1.0,0.1,0.67,0.4,"(0.67, 1, 1)","(0.67, 0.4, 1)",,left,1,0.3895
10,2023-12-05_14h15.57.385,20,23,Male,1.0,0.1551,0.33,1.0,0.6,0.1,0.67,0.6,"(0.33, 1, 1)","(0.67, 0.6, 0.6)",,left,1,0.3699
11,2023-12-05_14h15.57.385,20,23,Male,1.0,0.1407,0.33,0.6,1.0,0.1216,0.33,0.4,"(0.33, 0.6, 1)","(0.33, 0.4, 1)",,right,0,0.718
12,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1103,1.0,0.4,0.8,0.1407,0.67,0.4,"(1, 0.4, 0.4)","(0.67, 0.4, 0.8)",,right,1,0.3566
13,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1407,0.67,0.8,0.6,0.1103,1.0,0.4,"(0.67, 0.8, 0.8)","(1, 0.4, 0.6)",,left,1,0.3401
14,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1158,1.0,0.6,1.0,0.1,0.33,1.0,"(1, 0.6, 0.8)","(0.33, 1, 1)",,right,0,0.8761
15,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1,0.33,0.6,0.4,0.1407,0.67,0.6,"(0.33, 0.6, 0.4)","(0.67, 0.6, 0.4)",,right,1,0.4676
16,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1477,1.0,1.0,0.4,0.1551,0.33,0.6,"(1, 1, 0.4)","(0.33, 0.6, 0.4)",,right,1,0.6032
17,2023-12-05_14h15.57.385,20,23,Male,1.0,0.1103,0.33,0.6,1.0,0.1551,0.33,0.8,"(0.33, 0.6, 1)","(0.33, 0.8, 1)",,right,1,0.2992
18,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1276,0.33,0.6,0.8,0.1551,0.67,0.4,"(0.33, 0.6, 0.8)","(0.67, 0.4, 0.8)",,right,1,0.8155
19,2023-12-05_14h15.57.385,20,23,Male,0.6,0.1,0.67,0.6,0.6,0.1103,0.33,1.0,"(0.67, 0.6, 0.6)","(0.33, 1, 0.6)",,right,1,2.3431
20,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1477,1.0,1.0,0.8,0.1276,0.67,0.8,"(1, 1, 0.4)","(0.67, 0.8, 0.8)",,left,1,0.4734
21,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1158,0.33,0.8,0.4,0.105,1.0,1.0,"(0.33, 0.8, 0.4)","(1, 1, 0.4)",,left,1,1.097
22,2023-12-05_14h15.57.385,20,23,Male,0.6,0.1477,1.0,0.8,0.4,0.105,1.0,1.0,"(1, 0.8, 0.6)","(1, 1, 0.4)",,left,1,0.4352
23,2023-12-05_14h15.57.385,20,23,Male,0.4,0.105,0.67,0.4,0.4,0.1276,1.0,0.6,"(0.67, 0.4, 0.4)","(1, 0.6, 0.4)",,right,1,0.3807
24,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1407,0.67,0.6,1.0,0.1103,0.67,0.6,"(0.67, 0.6, 0.4)","(0.67, 0.6, 1)",,left,1,0.3398
25,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1216,0.67,0.6,0.8,0.1158,1.0,0.6,"(0.67, 0.6, 0.4)","(1, 0.6, 0.8)",,left,1,1.5886
26,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1551,0.33,0.4,0.6,0.1551,0.33,1.0,"(0.33, 0.4, 0.8)","(0.33, 1, 0.6)",,right,0,0.5968
27,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1103,1.0,0.8,0.4,0.1103,0.33,1.0,"(1, 0.8, 0.8)","(0.33, 1, 0.4)",,left,0,0.5867
28,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1103,0.33,0.6,0.6,0.1,0.67,0.8,"(0.33, 0.6, 0.4)","(0.67, 0.8, 0.6)",,left,1,0.4118
29,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1477,0.67,0.6,1.0,0.1103,1.0,1.0,"(0.67, 0.6, 0.4)","(1, 1, 1)",,left,1,0.4677
30,2023-12-05_14h15.57.385,20,23,Male,0.8,0.105,1.0,0.8,0.8,0.1103,1.0,1.0,"(1, 0.8, 0.8)","(1, 1, 0.8)",,right,1,0.3766
31,2023-12-05_14h15.57.385,20,23,Male,1.0,0.1216,0.33,0.4,0.6,0.105,0.67,1.0,"(0.33, 0.4, 1)","(0.67, 1, 0.6)",,left,1,0.8609
32,2023-12-05_14h15.57.385,20,23,Male,0.4,0.1551,0.33,0.8,0.4,0.1216,0.67,0.4,"(0.33, 0.8, 0.4)","(0.67, 0.4, 0.4)",,left,1,0.3872
33,2023-12-05_14h15.57.385,20,23,Male,0.8,0.1103,0.33,0.8,0.6,0.1103,0.33,0.4,"(0.33, 0.8, 0.8)","(0.33, 0.4, 0.6)",,right,0,0.4152
