,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-06_11h11.54.371,23,22,Male,0.8,0.1477,0.67,1,0.4,0.1,0.33,1,"(0.67, 1, 0.8)","(0.33, 1, 0.4)",,left,1,0.6322
1,2023-12-06_11h11.54.371,23,22,Male,1.0,0.1,0.67,0.4,0.4,0.1407,1.0,1,"(0.67, 0.4, 1)","(1, 1, 0.4)",,right,1,0.3417
2,2023-12-06_11h11.54.371,23,22,Male,0.6,0.105,0.33,1,1.0,0.1216,1.0,0.8,"(0.33, 1, 0.6)","(1, 0.8, 1)",,right,1,0.495
3,2023-12-06_11h11.54.371,23,22,Male,0.6,0.1477,0.67,0.4,1.0,0.1551,1.0,1,"(0.67, 0.4, 0.6)","(1, 1, 1)",,left,0,0.3722
4,2023-12-06_11h11.54.371,23,22,Male,0.4,0.1103,0.67,0.8,1.0,0.1477,0.67,0.6,"(0.67, 0.8, 0.4)","(0.67, 0.6, 1)",,right,1,0.3732
5,2023-12-06_11h11.54.371,23,22,Male,0.4,0.1158,1.0,0.4,1.0,0.1216,0.33,0.8,"(1, 0.4, 0.4)","(0.33, 0.8, 1)",,right,1,1.1287
6,2023-12-06_11h11.54.371,23,22,Male,0.6,0.1551,0.67,0.4,1.0,0.1216,1.0,0.4,"(0.67, 0.4, 0.6)","(1, 0.4, 1)",,left,1,0.3564
7,2023-12-06_11h11.54.371,23,22,Male,1.0,0.1103,1.0,0.4,0.4,0.1103,1.0,0.6,"(1, 0.4, 1)","(1, 0.6, 0.4)",,left,0,0.7831
8,2023-12-06_11h11.54.371,23,22,Male,1.0,0.1158,0.67,0.8,0.6,0.105,0.67,1,"(0.67, 0.8, 1)","(0.67, 1, 0.6)",,right,0,0.8317
9,2023-12-06_11h11.54.371,23,22,Male,0.6,0.1158,0.33,0.4,0.6,0.134,1.0,0.8,"(0.33, 0.4, 0.6)","(1, 0.8, 0.6)",,right,1,0.3478
10,2023-12-06_11h11.54.371,23,22,Male,0.8,0.1407,0.33,1,0.6,0.1477,1.0,0.8,"(0.33, 1, 0.8)","(1, 0.8, 0.6)",,right,1,0.4195
11,2023-12-06_11h11.54.371,23,22,Male,0.4,0.1477,0.67,0.4,1.0,0.134,1.0,1,"(0.67, 0.4, 0.4)","(1, 1, 1)",,left,1,0.3923
12,2023-12-06_11h11.54.371,23,22,Male,0.8,0.134,1.0,0.4,1.0,0.1551,0.67,1,"(1, 0.4, 0.8)","(0.67, 1, 1)",,right,1,0.3753
13,2023-12-06_11h11.54.371,23,22,Male,1.0,0.1,0.33,0.8,0.8,0.1,0.33,0.8,"(0.33, 0.8, 1)","(0.33, 0.8, 0.8)",,right,0,1.0707
14,2023-12-06_11h11.54.371,23,22,Male,0.8,0.1276,0.67,0.6,0.8,0.1551,0.67,0.4,"(0.67, 0.6, 0.8)","(0.67, 0.4, 0.8)",,right,1,0.4582
15,2023-12-06_11h11.54.371,23,22,Male,0.4,0.1551,0.67,0.4,0.4,0.1551,1.0,0.4,"(0.67, 0.4, 0.4)","(1, 0.4, 0.4)",,left,0,0.3676
16,2023-12-06_11h11.54.371,23,22,Male,1.0,0.105,0.67,1,0.6,0.1216,0.33,1,"(0.67, 1, 1)","(0.33, 1, 0.6)",,right,1,1.0125
17,2023-12-06_11h11.54.371,23,22,Male,0.8,0.105,1.0,1,1.0,0.1,1.0,0.8,"(1, 1, 0.8)","(1, 0.8, 1)",,right,0,2.9938
