,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-02_00h22.00.046,3,,Female,0.64,0.15,0.42,0.77,0.6,0.1198,0.84,0.77,"(0.42, 0.77, 0.64)","(0.84, 0.77, 0.6)",,left,1,0.79
1,2023-12-02_00h22.00.046,3,,Female,0.68,0.15,0.9,0.9,0.69,0.1292,0.19,0.92,"(0.9, 0.9, 0.68)","(0.19, 0.92, 0.69)",,right,0,0.24
2,2023-12-02_00h22.00.046,3,,Female,0.74,0.14,0.44,0.93,0.85,0.1172,0.22,0.92,"(0.44, 0.93, 0.74)","(0.22, 0.92, 0.85)",,left,1,0.28
3,2023-12-02_00h22.00.046,3,,Female,0.9,0.12,0.3,0.7,0.92,0.1303,0.02,0.93,"(0.3, 0.7, 0.9)","(0.02, 0.93, 0.92)",,right,1,0.31
4,2023-12-02_00h22.00.046,3,,Female,0.73,0.12,0.04,0.83,1.0,0.1382,0.11,0.83,"(0.04, 0.83, 0.73)","(0.11, 0.83, 1.0)",,right,1,0.46
5,2023-12-02_00h22.00.046,3,,Female,0.94,0.15,0.1,0.83,0.99,0.1439,0.08,0.81,"(0.1, 0.83, 0.94)","(0.08, 0.81, 0.99)",,left,1,0.38
6,2023-12-02_00h22.00.046,3,,Female,0.59,0.13,0.8,0.73,0.56,0.1411,0.74,0.74,"(0.8, 0.73, 0.59)","(0.74, 0.74, 0.56)",,right,1,0.34
7,2023-12-02_00h22.00.046,3,,Female,0.67,0.13,0.84,0.86,0.82,0.1027,0.92,0.98,"(0.84, 0.86, 0.67)","(0.92, 0.98, 0.82)",,left,1,0.42
8,2023-12-02_00h22.00.046,3,,Female,0.68,0.11,0.15,0.76,0.84,0.1009,0.96,0.84,"(0.15, 0.76, 0.68)","(0.96, 0.84, 0.84)",,left,1,0.51
9,2023-12-02_00h22.00.046,3,,Female,0.51,0.15,0.25,0.96,0.58,0.1357,0.41,0.79,"(0.25, 0.96, 0.51)","(0.41, 0.79, 0.58)",,left,1,0.42
